,Current,Voltage
,-2.552E-04,-0.114
,-2.551E-04,-0.119
,-2.55E-04,-0.115
,-2.549E-04,-0.117
,-2.548E-04,-0.118
,-2.547E-04,-0.12
,-2.546E-04,-0.114
,-2.545E-04,-0.117
,-2.544E-04,-0.119
,-2.543E-04,-0.118
,-2.542E-04,-0.12
,-2.541E-04,-0.113
,-2.54E-04,-0.117
,-2.539E-04,-0.116
,-2.538E-04,-0.119
,-2.537E-04,-0.117
,-2.536E-04,-0.115
,-2.535E-04,-0.115
,-2.534E-04,-0.116
,-2.533E-04,-0.118
,-2.532E-04,-0.119
,-2.531E-04,-0.12
,-2.53E-04,-0.116
,-2.529E-04,-0.117
,-2.528E-04,-0.115
,-2.527E-04,-0.117
,-2.526E-04,-0.115
,-2.525E-04,-0.116
,-2.524E-04,-0.118
,-2.523E-04,-0.115
,-2.522E-04,-0.117
,-2.521E-04,-0.119
,-2.52E-04,-0.116
,-2.519E-04,-0.118
,-2.518E-04,-0.117
,-2.517E-04,-0.12
,-2.516E-04,-0.118
,-2.515E-04,-0.119
,-2.514E-04,-0.115
,-2.513E-04,-0.118
,-2.512E-04,-0.117
,-2.511E-04,-0.117
,-2.51E-04,-0.121
,-2.509E-04,-0.121
,-2.508E-04,-0.117
,-2.507E-04,-0.121
,-2.506E-04,-0.12
,-2.505E-04,-0.119
,-2.504E-04,-0.115
,-2.503E-04,-0.119
,-2.502E-04,-0.116
,-2.501E-04,-0.12
,-2.5E-04,-0.119
,-2.499E-04,-0.117
,-2.498E-04,-0.116
,-2.497E-04,-0.12
,-2.496E-04,-0.115
,-2.495E-04,-0.117
,-2.494E-04,-0.117
,-2.493E-04,-0.12
,-2.492E-04,-0.12
,-2.491E-04,-0.121
,-2.49E-04,-0.116
,-2.489E-04,-0.12
,-2.488E-04,-0.12
,-2.487E-04,-0.116
,-2.486E-04,-0.118
,-2.485E-04,-0.12
,-2.484E-04,-0.117
,-2.483E-04,-0.122
,-2.482E-04,-0.118
,-2.481E-04,-0.122
,-2.48E-04,-0.117
,-2.479E-04,-0.118
,-2.478E-04,-0.121
,-2.477E-04,-0.12
,-2.476E-04,-0.117
,-2.475E-04,-0.117
,-2.474E-04,-0.118
,-2.473E-04,-0.119
,-2.472E-04,-0.119
,-2.471E-04,-0.118
,-2.47E-04,-0.121
,-2.469E-04,-0.116
,-2.468E-04,-0.122
,-2.467E-04,-0.123
,-2.466E-04,-0.122
,-2.465E-04,-0.118
,-2.464E-04,-0.119
,-2.463E-04,-0.119
,-2.462E-04,-0.119
,-2.461E-04,-0.12
,-2.46E-04,-0.117
,-2.459E-04,-0.116
,-2.458E-04,-0.117
,-2.457E-04,-0.119
,-2.456E-04,-0.118
,-2.455E-04,-0.12
,-2.454E-04,-0.12
,-2.453E-04,-0.114
,-2.452E-04,-0.12
,-2.451E-04,-0.12
,-2.45E-04,-0.115
,-2.449E-04,-0.12
,-2.448E-04,-0.118
,-2.447E-04,-0.12
,-2.446E-04,-0.117
,-2.445E-04,-0.119
,-2.444E-04,-0.117
,-2.443E-04,-0.118
,-2.442E-04,-0.117
,-2.441E-04,-0.117
,-2.44E-04,-0.122
,-2.439E-04,-0.12
,-2.438E-04,-0.118
,-2.437E-04,-0.119
,-2.436E-04,-0.122
